fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,6
7.3,0.13,0.27,4.6,0.08,34,172,0.9938,3.23,0.39,11.1,7
6.9,0.17,0.3,2,0.047,13,117,0.99152,3.16,0.51,11.6,6
5.0,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10.0,5
6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,6
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9.0,6
8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7
4.4,0.54,0.09,5.1,0.038,52,97,0.99022,3.41,0.4,12.2,7
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10.0,5
7.4,0.18,0.3,10.4,0.045,44,174,0.9966,3.11,0.57,9.7,6
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12.0,7
7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,5
7.1,0.32,0.3,9.9,0.041,63,192,0.99642,3.12,0.49,10.2,6
7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,5
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5
6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,6
7.0,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,5
7.8,0.4,0.49,7.8,0.06,34,162,0.9966,3.26,0.58,11.3,6
7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5
8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7
6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,6
6.7,0.45,0.3,5.3,0.036,27,165,0.99122,3.12,0.46,12.2,6
6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6
6.6,0.36,0.21,1.5,0.049,39,184,0.9928,3.18,0.41,9.9,6
6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,6
6.2,0.29,0.23,12.4,0.048,33,201,0.99612,3.11,0.56,9.9,6
6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7
6.0,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7
6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9.0,6
7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,7
7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,7
7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3.0,0.36,8.7,5
6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5
6.7,0.32,0.32,1.7,0.031,31,114,0.98946,3.12,0.35,12.5,6
6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
9.0,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6
6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,8
6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,6
6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3
6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,6
7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12.0,6
7.0,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10.0,5
7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,6
6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6
7.7,0.28,0.24,2.4,0.044,29,157,0.99312,3.27,0.56,10.6,6
6.7,0.105,0.32,12.4,0.051,34,106,0.998,3.54,0.45,9.2,6
6.2,0.2,0.29,11.8,0.035,21,93,0.99364,3.18,0.34,11.9,6
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5
6.6,0.25,0.24,1.7,0.048,26,124,0.9942,3.37,0.6,10.1,6
7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10.0,6
6.2,0.25,0.39,1.3,0.051,42,135,0.9906,3.23,0.4,11.1,6
7.0,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5
6.2,0.24,0.35,1.2,0.038,22,167,0.9912,3.1,0.48,10.6,6
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5
7.0,0.2,0.34,2.1,0.049,12,136,0.9922,3.25,0.46,11.6,7
7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4
7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,5
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9.0,6
7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,11.3,7
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10.0,5
7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4
6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3,6
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7
8.0,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,6
8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7
6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,8
7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7,5
5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,6
6.8,0.21,0.42,1.2,0.045,24,126,0.99234,3.09,0.87,10.9,6
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5
7.2,0.27,0.46,18.75,0.052,45,255,1.0,3.04,0.52,8.9,5
6.0,0.26,0.29,1,0.032,27,96,0.9896,3.38,0.44,12.3,6
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6
7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,5
6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11.0,6
7.0,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,5
7.0,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,6
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5
6.3,0.36,0.28,2.5,0.035,18,73,0.98868,3.1,0.47,12.8,7
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6
7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
6.9,0.2,0.41,1.1,0.06,36,104,0.99317,2.99,0.39,9.2,5
7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3.0,0.6,9.5,6
6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10.0,6
7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11.0,7
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7
7.6,0.29,0.29,4.4,0.051,26,146,0.9939,3.16,0.39,10.2,5
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7
6.6,0.33,0.4,2.65,0.041,35,86,0.98916,3.11,0.39,13.3,7
6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,6
6.1,0.25,0.18,10.5,0.049,41,124,0.9963,3.14,0.35,10.5,5
6.8,0.21,0.36,18.1,0.046,32,133,1.0,3.27,0.48,8.8,5
