fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6
7.7,0.25,0.49,2.5,0.047,31,169,0.99252,3.07,0.57,10.6,6
7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5
7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6
8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8
7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,7
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,5
5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,6
6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6
6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8
5.0,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11.0,6
6.7,0.26,0.29,7.1,0.036,28,100,0.99534,3.08,0.36,9.3,6
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5
7.0,0.53,0.02,1,0.036,39,107,0.993,3.2,0.32,9.0,5
6.6,0.29,0.31,3.9,0.027,39,96,0.99035,3.24,0.6,12.6,8
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9.0,6
8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12.0,6
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,,12.8,6
5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5
7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5
6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5
6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,5
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
5.8,0.27,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6
7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,6
7.3,0.35,0.67,8.3,0.053,10,100,0.9959,3.19,0.5,10.9,5
7.5,0.24,0.49,9.4,0.048,50,149,0.9962,3.17,0.59,10.5,7
7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4
6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
6.6,0.21,0.29,1.8,0.026,35,128,0.99183,3.37,0.48,11.2,6
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
7.3,0.13,0.31,2.3,0.054,22,104,0.9924,3.24,0.92,11.5,7
6.5,0.46,0.24,11.5,0.051,56,171,0.99588,3.08,0.56,9.8,6
7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,6
6.2,0.29,0.32,3.6,0.026,39,138,0.9892,3.31,0.37,13.1,7
5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,7
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9.0,5
5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,7
7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6
6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9.0,6
6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,6
5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10.0,5
6.3,0.25,0.53,1.8,0.021,41,101,0.989315,3.19,0.31,13.0,6
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5
6.0,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5
7.3,0.3,0.22,6.4,0.056,44,168,0.9947,3.13,0.35,10.1,6
6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,6
6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6
8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
7.0,0.55,0.05,8,0.036,19,164,0.99269,3.26,0.46,12.2,6
7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,7
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5
6.3,0.22,0.34,1.2,0.036,32,96,0.98961,3.06,0.74,11.6,6
7.5,0.38,0.5,12.8,0.042,57,184,0.9984,3.09,0.46,9.0,6
6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5
6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,7
7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,5
7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5
6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12.0,7
6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6
7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9.0,6
6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,7
6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,5
7.1,0.38,0.42,11.8,0.041,32,193,0.99624,3.04,0.49,10.0,6
7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,6
7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
6.1,0.41,0.0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3.0,0.52,9.0,7
7.0,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11.0,6
6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,6
7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6
7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13.0,6
6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7
6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6
6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2,5
6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6
5.9,0.22,0.18,6.4,0.041,28,120,0.99403,3.27,0.5,9.9,5
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6
8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3.0,0.32,12.8,7
7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9
7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,7
8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12.0,6
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,4
6.0,0.26,0.32,3.5,0.028,29,113,0.9912,3.4,0.71,12.3,7
7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10.0,5
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12.0,8
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9.0,5
8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5
6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5
7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4
8.0,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11.0,6
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
6.0,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6
7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,5
6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6
6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6
7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7
6.0,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,5
6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5,5
6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6
6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8
5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6
8.0,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5
6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6
8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,6
6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,7
6.7,0.33,0.34,7.5,0.036,39,124,0.99123,2.99,0.32,12.4,8
5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,6
7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,7
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6
7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10.0,6
6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12.0,6
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9.0,6
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10.0,5
7.0,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,6
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6
6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5
7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,6
7.0,0.23,0.35,1.4,0.036,31,113,0.9912,3.16,0.48,10.8,7
6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8
6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7
8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3.0,0.68,10.4,7
7.1,0.26,0.32,14.45,,29,107,0.998,2.96,0.42,9.2,6
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10.0,5
7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5
5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,6
8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5
7.0,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,6
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5
5.7,0.25,0.22,9.8,0.049,50,125,0.99571,3.2,0.45,10.1,6
7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3.0,0.36,8.7,5
6.9,0.41,0.22,4.2,0.031,10,102,0.993,3.0,0.86,11.6,4
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
7.7,0.44,0.24,11.2,0.031,41,167,0.9948,3.12,0.43,11.3,7
5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6
7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,6
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3.0,0.36,8.7,5
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6
5.9,0.34,0.25,2,0.042,12,110,0.99034,3.02,0.54,11.4,6
5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6
5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5
6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,5
7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9.0,4
6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,4
7.0,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5
7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6
5.7,0.21,0.37,4.5,0.04,58,140,0.99332,3.29,0.62,10.6,6
6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6
6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7
5.8,0.315,0.19,19.4,0.031,28,106,0.99704,2.97,0.4,10.55,6
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9.0,5
5.0,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8
7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10.0,6
6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,6
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,,0.72,10.7,7
6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,6
7.7,0.2,0.44,13.9,0.05,44,130,0.99855,3.11,0.48,10.0,6
6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9.0,5
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
7.8,0.42,0.26,9.2,0.058,34,199,0.9972,3.14,0.55,9.3,6
6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6
7.0,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,5
6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5
6.1,0.18,0.36,2,0.038,20,249.5,0.9923,3.37,0.79,11.3,6
7.0,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
6.0,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,6
8.0,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,6
8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5
6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8
6.6,0.46,0.49,7.4,0.052,19,184,0.9956,3.11,0.38,9.0,5
3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8
6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5
7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9.0,6
5.7,0.25,0.26,12.5,0.049,52.5,106,0.99691,3.08,0.45,9.4,6
7.2,0.32,0.24,5.6,0.033,23,120,0.99334,2.92,0.66,10.3,7
6.2,0.19,0.29,4.3,0.045,33,126,0.99658,3.18,0.42,9.3,6
6.8,0.17,0.17,5.1,0.049,26,82,0.993,3.0,0.38,9.8,6
6.9,0.29,0.25,12.2,0.04,29,136,0.99552,3.05,0.65,10.4,6
7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,9
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5
7.2,0.21,0.28,2.7,0.033,38,94,0.99075,2.99,0.43,11.8,7
6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12.0,6
6.6,0.25,0.35,2.9,0.034,38,121,0.99008,3.19,0.4,12.8,6
7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6
6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6
5.9,0.24,0.28,1.3,0.032,36,95,0.98889,3.08,0.64,12.9,7
7.0,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,6
6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11.0,6
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,5
5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,6
7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6
6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,7
6.6,0.21,0.34,5.6,0.046,30,140,0.99299,3.22,0.38,11.0,5
7.0,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,7
7.1,0.18,0.39,15.25,0.047,45,158,0.99946,3.34,0.77,9.1,6
7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10.0,7
6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,5
8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
5.8,0.27,0.4,1.2,0.076,47,130,0.99185,3.13,0.45,10.3,6
6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,6
8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,6
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11.0,7
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5
7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11.0,7
6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,7
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6
6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11.0,6
6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,5
6.0,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5
6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8
6.7,0.37,0.41,6.3,0.061,22,149,0.9953,3.16,0.47,9.6,6
6.5,0.37,0.33,3.5,0.036,23,92,0.99136,3.18,0.38,11.2,6
5.7,0.22,0.28,1.3,0.027,26,101,0.98948,3.35,0.38,12.5,7
6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6
6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6
